avr,"Стабілізатори, нормалізатори напруги: Phantom, Volter, Luxeon, Вольт","Стабілізотор напруги"
battery,"Акумулятори, батареї: Luxeon, Ventura, B.B. Battery, Vimar","Акумулятори"
charger,"Зарядні пристрої: Luxeon","Зарядний,пристрій"
converter,"Перетворювачі напруги, конвертори: Luxeon","Перетворювач"
current-relay,"Реле струму:,Энергохит","Реле струму"
temperature-controller,"Терморегулятори, реле напруги: Энергохит","Терморегулятор"
time-relay,"Реле часу: Энергохит","Реле,часу"
ups,"ДБЖ, ББЖ: Luxeon, Volter, Вольт","ДБЖ"
voltage-relay,"Реле напруги,(відсікачі): Энергохит, Volter","Реле напруги"
voltmeter,"Вольтметри: Энергохит","Вольтметр"
