"avr","Стабілізатори напруги","Стабілізатори, нормалізатори напруги: Phantom, Volter, Luxeon, Вольт","Стабілізотор напруги"
"battery","Акумулятори","Акумулятори, батареї: Luxeon, Ventura, B.B. Battery, Vimar","Акумулятори"
"charger","Зарядні пристрої","Зарядні пристрої: Luxeon","Зарядний пристрій"
"converter","Перетворювачі напруги","Перетворювачі напруги, конвертори: Luxeon","Перетворювач"
"current-relay","Реле струму","Реле струму: Энергохит","Реле струму"
"temperature-controller","Терморегулятори","Терморегулятори, реле напруги: Энергохит","Терморегулятор"
"time-relay","Реле часу","Реле часу: Энергохит","Реле часу"
"ups","ББЖ","ДБЖ, ББЖ: Luxeon, Volter, Вольт","ББЖ"
"voltage-relay","Реле напруги","Реле напруги (відсікачі): Энергохит, Volter","Реле напруги"
"voltmeter","Вольтметри","Вольтметри: Энергохит","Вольтметр"
